question_id,question,gold_answers,best_passage_title,predicted_answer,em,f1
5ade38d8554299728e26c680,"What group of languages is the surname Gref, meaning ""Grave,"" taken from?",['Germanic'],"Back from the Grave, Volume 4 (CD)",German.,0,0.0
5ade3af855429939a52fe867,"In the Library with the Lead Pipe, an academic journal on topics about libraries, is abstracted and indexed by this third largest private company in Birmingham, Alabama? ",['EBSCO Information Services'],EBSCO Information Services,No.,0,0.0
5ade4da055429939a52fe878,My Neighbor Totoro was produced by a Japanese animation film studio founded in what year?,['1985'],Short films by Studio Ghibli,1985,1,1.0
5ade618e554299728e26c700,Both Tsai Ming-liang and Giacomo Gentilomo were involved with which profession?,['film director'],Tsai Ming-liang,Filmmaking.,0,0.0
5ade811e5542992fa25da7a0,"Marvel Classics Comics specialized in adaptations of literary classics, such as a novel by American writer Herman Melville, that was published in what year?",['1851'],Moby-Dick,1851.,1,1.0
5adebbbd554299728e26c793,"Northland Mall was the first directionally-named shopping center in Columbus, 5 years before which shopping center at the intersection of US-40 and I-270?",['Westland Mall'],Westland Mall (Columbus),Westland Mall.,1,1.0
5adf04c95542993a75d263d5,which American soldier and serial killer was Death of a Soldier based on ,['Edward Joseph Leonski'],Eddie Leonski,Eddie Leonski.,0,0.4
5adf38ae5542993a75d26433,Both Alexander Hall and Pierre Morel are involved in which profession?,['film director'],Pierre Morel,Film director and cinematographer.,1,0.6666666666666666
5adf3e835542993a75d26442,Which comic series involves characters such as Nick Fury and Baron von Strucker?,['Marvel'],"Nick Fury, Agent of S.H.I.E.L.D.: Empyre",The comic series is S.H.I.E.L.D.,0,0.0
5adf65555542992d7e9f9334,Which Kentucky Writers Hall of Fame author has had works published by Dim Gray Bar Press?,['Wendell Berry'],Wendell Berry,Wendell Berry.,1,1.0
5adf68ac5542993344016c79,Little Brown Stein is a rivalry trophy that imitates a mug made out of what item?,['stoneware'],Beer stein,Stoneware.,1,1.0
5adf74255542992d7e9f937d,At which level of French football does the football team named after the manager of France national team play?,['Championnat National 3'],Aviron Bayonnais FC,Championnat National 3.,1,1.0
5adf9dc3554299025d62a2e6,"What is the name of the actress who has received a Drama Desk award and was part of the cast album for the 2007 Broadway production of the hit musical, ""Grease""?",['Laura Ann Osnes'],Laura Osnes,Laura Osnes.,0,0.8
5adf9f6c5542992d7e9f93c2,"Over what time period was the motion picture studio which produced Marvel One-Shots known as ""Marvel Films""?",['from 1993 to 1996'],Marvel Studios,1993-1996.,0,0.0
5adfc06d55429906c02daa2a,"What is the name of the largest shipping facility in the Northeastern United States, where the Boston Red Socks play?",['Port of Boston'],Boston Harbor,Port of Boston.,1,1.0
5adfda5255429942ec259b5e,What county in Minnesota holds a 202 lb slab of greywacke covered in runes?,['Douglas'],"Kensington, Minnesota",Douglas County.,1,0.6666666666666666
5adfeeed55429925eb1afb44,"What is the birthdate of this Uruguayan former footballer, who management team consists of Charlie Oatway?",['15 November 1967'],Gus Poyet,15 November 1967,1,1.0
5ae005b555429942ec259bec,"In what year was the novel that Lourenço Mutarelli based ""Nina"" on based first published?",['1866'],Lourenço Mutarelli,1866,1,1.0
5ae034bd55429925eb1afc2a,"Which  American politician and lawyer contested in San Francisco mayoral election, 2003",['Matthew Edward'],Matt Gonzalez,Matt Gonzalez.,0,0.0
5ae03cd855429924de1b7072,Were Paul Éluard and Georges Bataille from the same country?,['yes'],Acéphale,France.,0,0.0
5ae057fd55429945ae959328, Robert Smith founded the multinational company headquartered in what city?,"['Golden Valley, Minnesota,']",General Mills,Minneapolis.,0,0.0
5ae07b0155429945ae95935d,"Which novelist was German, David Guterson or Thomas Mann?",['Paul Thomas Mann'],Thomas Mann,Thomas Mann.,0,0.8
5ae09ea05542993d6555ebc1,The Bachelor was based on what novel written by an Austrian author?,"['""Dr. Gräsler, Badearzt""']",The Bachelor (1990 film),"""Dr. Gräsler, Badearzt"" by Arthur Schnitzler.",1,0.6666666666666666
5ae09ec055429924de1b7116,"Which of the steering committee was an American broadcast journalist, best known as anchorman for the ""CBS Evening News"" for 19 years?",['Walter Cronkite'],CBS Evening News,Walter Cronkite.,1,1.0
5ae0ba15554299603e41844d,"What plant has about 40 species native to Asia, Manglietia or Abronia?",['Manglietia'],Manglietia,Manglietia.,1,1.0
5ae0d9c555429924de1b719a,"Van Andel Institute was founded in part by what American businessman, who was best known as co-founder of the Amway Corporation?",['Jay Van Andel'],Amway North America,Jay Van Andel.,1,1.0
5ae0e0125542993d6555ec79,Ross Pople worked with this French dominant figure of the post-war classical music world.,['Pierre Louis Joseph Boulez'],Pierre Boulez,Pierre Boulez.,0,0.6666666666666666
5ae0fe8855429945ae959495,Were both Tom Gullikson and Jürgen Melzer professional Austrian tennis players?,['no'],1983 Wimbledon Championships – Men's Doubles,"No, Tom Gullikson was American, not Austrian.",1,0.25
5ae1319c55429920d5234301,The tap dancing soloist in My Feet Keep Dancing also starred in what 1935 MGM musical?,"['""An All-Colored Vaudeville Show""']",Fayard Nicholas,An All-Colored Vaudeville Show.,1,1.0
5ae13c5155429920d5234336,"After partially sinking in 1994, Celestyal Crystal was rebuilt for the purpose of what Bermudian company?",['Norwegian Cruise Line Holdings Ltd.'],Norwegian Cruise Line,Norwegian Cruise Line.,0,0.7499999999999999
5ae1408a5542997b2ef7d17c,"Which is a university in Pennsylvania, University of New Haven or Carnegie Mellon University?",['Carnegie Mellon University'],Carnegie Mellon University,Carnegie Mellon University.,1,1.0
5ae14b5c55429920d52343aa,Luke Rockhold defeated the MMA fighter who was the first to earn a win against which champion in the UFC?,['Anderson Silva'],Chris Weidman,Anderson Silva.,1,1.0
5ae17e4255429901ffe4aeae,"Which musician played in the band Soulfly, Max Cavalera or Billy Idol?","['Massimiliano Antonio ""Max"" Cavalera']",Max Cavalera,Max Cavalera.,0,0.6666666666666666
5ae18ae6554299234fd04289,"When was the British economic historian who established ""The Economic History Review"" born? ",['9 January 18898'],Eileen Power,9 January 1889,0,0.6666666666666666
5ae18b555542997b2ef7d1f7,How far from Buenos Aires is the birthplace of Ezequiel Lazaro? ,['about 700 km'],Ezequiel Lázaro,Córdoba is approximately 700 km (435 miles) northwest of Buenos Aires.,0,0.28571428571428575
5ae198bf5542997b2ef7d20d,Were Chad Gray and Dickie Peterson both singers?,['yes'],Chad Gray,"No, they were not.",0,0.0
5ae1b943554299492dc91b7f,"Are Macheng and Lianjiang, Guangdong both cities ?",['yes'],"Lianjiang, Guangdong","Yes, both are cities.",1,0.4
5ae1c214554299234fd042ed,Which  Australian singer-songwriter wrote  Cold Hard Bitch,"['Nicholas John ""Nic"" Cester']",Rollover DJ,Jet (band),0,0.0
5ae1ce895542997f29b3c11e,Are both Yixing and Shaoshan county-level cities in China?,['yes'],Yixing,"No, Yixing is a city, Shaoshan is a town.",0,0.0
5ae1e9635542997f29b3c19e,"Which airport is located further north in the United States, San Angelo Regional Airport or Grand Junction Regional Airport?",['Grand Junction Regional Airport'],"Grand Junction, Colorado",Grand Junction Regional Airport.,1,1.0
5ae21154554299495565d9d4,"Which film stars more animals, The Jungle Book or The Lone Ranger?",['The Jungle Book'],The Jungle Book (1967 film),The Jungle Book.,1,1.0
5ae2136d5542997283cd23b6,"Which is the Oil Capital of China, Chaoyang District, Shantou, or Daqing?",['Daqing'],Daqing,Daqing.,1,1.0
5ae2138c5542997283cd23b7,Are Villa Paletti and Betrayal at House on the Hill both board games?,['yes'],Glossary of board games,Yes.,1,1.0
5ae26c435542994d89d5b420,Cagliostro-Walzer op.370 was composed by a man born in what year?,['1825'],Johann Strauss II,1825,1,1.0
5ae2c2c05542996483e64a4a,How many member universities are there in this conference of which the Connecticut Huskies baseball team is a competing member?,['12 member universities'],American Athletic Conference,12,0,0.5
5ae2c6bf554299492dc91c6c,"Which Austrian writer and journalist introduced the term ""Journaille """,['Karl Kraus'],Journaille,Karl Kraus.,1,1.0
5ae2cda55542992decbdcdb7,"What ""God Gave Me You"" artist wrote the song ""Imagine That"" for Diamond Rio?",['Bryan Shelton White'],Bryan White,Bryan White.,0,0.8
5ae2d59755429928c42394ec,"Who has a wider scope of profession, Hrag Vartanian or Hovsep Pushman?",['Hrag Vartanian'],Hrag Vartanian,Hrag Vartanian.,1,1.0
5ae31ca155429928c4239608,Lucy Pevensie is a character in the series of fantasy novels that have sold more than how many copies?,['100 million'],The Chronicles of Narnia,Over 100 million.,1,0.8
5ae326e95542990afbd1e0b6,"Where is the American Hockey League, that Dan Frawley played in, located?",['United States and Canada'],List of AHL seasons,United States and Canada.,1,1.0
5ae328f45542991a06ce993c,"On which station did the 2014 South Korean television series, starring the main rapper of boyband SS501, air?",['KBS2'],Inspiring Generation,KBS2.,1,1.0
5ae33a3b5542992f92d8224a,Viking: The Ultimate Obstacle Course was a game show that aired in Europe with the British presenter who was an Olympic participant in what sport?,['bobsledder'],Colin Bryce,Bobsledder.,1,1.0
5ae37e6e5542992f92d822e0,Which countries forces fought in The Battle of Hürtgen Forest which was covered in the shooter video game Darkest Hour: Europe '44-'45?,['American and German'],Battle of Hürtgen Forest,American and German forces.,1,0.8571428571428571
5ae382ee5542992e3233c430,The Prussian General Carl von Clausewitz is associated with what type of realism?,['Modern thinkers associated with classical realism are Carl von Clausewitz'],Classical realism (international relations),Classical Realism.,0,0.33333333333333337
5ae3d67f5542992f92d8238f,The man who currently serves as the wide receivers coach for the Dallas Cowboys used to coach at what college?,['Louisiana Tech'],2008 Louisiana Tech Bulldogs football team,Derek Dooley.,0,0.0
5ae3f2d25542995ad6573ccc,Firstar Center was the name for two buildings before the company changed its name to match which company based in Minneapolis?,['U.S. Bancorp'],Firstar Center,U.S. Bancorp.,1,1.0
5ae402085542995dadf242ca,W41AP is a station owned by the daily newspaper serving what nearby city in Erie County?,['Port Clinton'],Sandusky Register,Sandusky.,0,0.0
5ae4606c5542996836b02c91,"Where was the company, of which David DeVoe is Chief Financial Officer, ranked in the world, in 2014, in terms of revenue, against similar types of company ?  ",['fourth-largest'],News Corporation,"The company, News Corporation, was the world's fourth-largest media group in 2014 in terms of revenue.",1,0.13333333333333333
5ae479745542996836b02cb1,What is the name of the movie that stars Katrina Bowden and was directed by Sean Anders?,['Sex Drive'],Sex Drive (film),Sex Drive.,1,1.0
5ae48d1755429913cc204499,Which actor in The Lieutenant Wears Skirts is named Samuel?,['Tom Ewell'],Tom Ewell,Tom Ewell.,1,1.0
5ae4932855429970de88d9b8,Which  American chain of bakery-café fast casual restaurants sponsored Bill Steers Men's 4-Miler,['Panera Bread Company'],Panera Bread,Panera Bread.,0,0.8
5ae4a1ef55429970de88d9e7,When was the  Argentine former footballer which  Dutch manager Ronald Koeman replaced in  2014–15 Southampton F.C. season born,['2 March 1972'],Mauricio Pochettino,Mauricio Pochettino was born on 2 March 1972.,1,0.5454545454545454
5ae4ad3155429913cc2044cb,Do both Adventist World and Girls' Life have a headquarter or editor based in Maryland?,['yes'],Adventist World,"Yes, both do.",1,0.5
5ae4cda05542990ba0bbb148,Why is Serena Williams more accomplished than Mariaan de Swardt in her tennis career?,['the world No. 1 for the first time'],Serena Williams,Not applicable. The passage does not compare Serena Williams to Mariaan de Swardt.,0,0.0
5ae4cf975542990ba0bbb151,What line featured characters from a DC Comic creator by Bob Kane and Bill Finger?,['action figure toyline'],Movie Masters,DC Superheroes.,0,0.0
5ae4db9c55429908b6326492,What was held in 2011 at the same stadium where the seventeenth edition of the IAAF World Championships is scheduled to be held in 2019?,['The final of 2011 AFC Asian Cup'],Khalifa International Stadium,The final of the 2011 AFC Asian Cup.,1,1.0
5ae4eb9255429908b63264ba,What were the nations after 1722 that composed a culture that was extensively studied by William N. Fenton?,"['Mohawk, Onondaga, Oneida, Cayuga, Seneca, and Tuscarora']",Oliver Phase,Iroquois and Huron.,0,0.2
5ae524415542992663a4f121,In what city did the 23rd overall pick of the 2015 NHL Entry Draft helped the United States national junior team win a bronze medal?,"['Helsinki, Finland']",2016 World Junior Ice Hockey Championships,Helsinki.,0,0.6666666666666666
5ae52bc75542992663a4f12d,Where was Nexon who was composed by Adam Gubman located at?,['South Korea'],Adam Gubman,South Korea.,1,1.0
5ae537a855429960a22e0266,"""Let's Get Ready to Rhumble"" is a 1994 song by a music duo from where?","['Newcastle upon Tyne, England']",Ant &amp; Dec,Ant & Dec.,0,0.0
5ae554ce55429960a22e02b7," ""I Will Not Say Goodbye"" is a song written in part by a music artist who first gained national attention as a winner of what talent competition?",['You Can Be a Star'],Lari White,"""You Can Be a Star""",1,1.0
5ae5a4e5554299546bf82f01,"Which writer of ""Rewrite This Story"" are an American songwriting duo and composing team for musical theater, films, and television?",['Pasek and Paul'],Rewrite This Story,Pasek and Paul.,1,1.0
5ae5b06e554299546bf82f2a,"What was the capacity of the stadium that Colección Privada that was filmed on October 10, 2000?","['15,500']",Bloomfield Road,"I apologize, but the passage does not mention the capacity of the stadium on October 10, 2000. The passage only mentions the demolition of the Spion Kop in June 2000, but it does not provide the capacity of the stadium at that time.",0,0.0
5ae5c8cf554299546bf82f5f,"Fiske O'Hara was born in what city Knox County, Maine, that had a population of 2,297 as of the 2010 census?",['Rockland'],"Matinicus Isle, Maine",Rockland.,1,1.0
5ae612f3554299546bf83065,Which musician who first became famous in the late 1960s and early 1970s is Inner Secrets  the ninth studio album by,['Carlos Santana'],Carlos Santana,Carlos Santana.,1,1.0
5ae61ac355429929b0807ac6,H Pistorius & Co is part of the reason for the wealth of the family that includes which South African sprinter?,['Oscar Leonard Carl Pistorius'],Oscar Pistorius,Oscar Pistorius.,0,0.6666666666666666
5ae625935542995703ce8b2a,Who founded gaming company which owns and operates the Red Rock Resort?,"['Frank Fertitta, Jr.']",Station Casinos,"Frank Fertitta, Jr.",1,1.0
5ae68fcb5542992ae0d1635b,"""Ew!"" is a song by a television host born where?","['Bay Ridge, Brooklyn']",Jimmy Fallon,Brooklyn.,0,0.5
5ae694a15542991bbc976141,Why is Minister Pool important to Black Country and the West Midlands in England?,['defence of the Cathedral'],Minster Pool,Not mentioned in the passage.,0,0.0
5ae6e0485542996d980e7ca6,Who was the winner of the season of The Rap Game where a contestant named Lady Leshurr as one of her influences?,['Mani'],The Rap Game,Miss Mulatto.,0,0.0
5ae7376f5542992ae0d163d2,A Talk is an EP by which South Korean singer and dancer?,['Hyuna'],A Talk,Hyuna.,1,1.0
5ae7525f5542991e8301cc60,Kristine Moore Gebbie is a professor at a university founded in what year?,['1966'],Flinders University,1966,1,1.0
5ae7535c5542997b22f6a6d8,The 53rd National Hockey League All-Star Game took place at the indoor arena that was completed in what year?,['1998'],"BB&amp;T Center (Sunrise, Florida)",1998,1,1.0
5ae759b25542991e8301cc6b,The 2015 Austrian thriller film Jack tells the story of a serial killer who died in what year?,['1994'],Jack Unterweger,1994,1,1.0
5ae764a85542997b22f6a720,In what New York town did Glenn Martin Hughes attend high school?,"['Mineola, New York']",Chaminade High School,Mineola.,0,0.5
5ae76c235542991e8301cc97,Matt Doheny lost his primary race to what current youngest woman ever elected to Congress?,['Elise Stefanik'],Matt Doheny,Elise Stefanik.,1,1.0
5ae7739c5542997b22f6a775,An Austrian-British psychoanalyst born in 1882 and innovative in object relations theory was also rigorous about what other type of therapy?,['Morita therapy'],Object relations theory,D.W. Winnicott.,0,0.0
5ae7b6055542993210983f00,What is the organized crime syndicate founded and led by Carlos Alberto Rosales Mendoza who is friends with Osiel Cárdenas Guillén?,['La Familia Michoacana'],Carlos Rosales Mendoza,La Familia Michoacana.,1,1.0
5ae7ba7a5542993210983f12,"What is the name of the singer who's song was released as the lead single from the album ""Confessions"", and that had popular song stuck behind for eight consecutive weeks?",['Usher'],Yeah! (Usher song),Usher.,1,1.0
5ae7cb9b5542994a481bbde2,Who was the great grandfather of Franklin Seaver Pratt's wife?,['Kalokuokamaile'],Elizabeth Kekaaniau,Kamehameha I.,0,0.0
5ae7e1fc55429952e35ea9cc,What color clothing do people of the Netherlands wear during Oranjegekte or to celebrate the national holiday Koningsdag? ,['orange'],Oranjegekte,Orange.,1,1.0
5ae8096f5542994a481bbe99,"What lawyers were featured in The State of Marriage, with the lawyer nominated by Governor Peter Shumlin?","['Mary Bonauto, Susan Murray']",The State of Marriage,"Mary Bonauto, Susan Murray, and Beth Robinson.",1,0.7272727272727273
5ae81032554299540e5a572a,Which satellite suburb of Melbourne is partially included in the Electoral district of Bass?,['Pakenham'],Electoral district of Bass,Pakenham.,1,1.0
5ae8161555429952e35eaa04,Where was the match held where Chicharito scored goals along with Antonio Valencia and Dimitar Berbatov?,['Wembley Stadium'],2010 FA Community Shield,"Wembley Stadium, London.",1,0.8
5ae8164d5542994a481bbeb6,Emily Beecham is best known for her role in a televsion series whose second season premiered on what date?,"['March 19, 2017']",Into the Badlands (TV series),"March 19, 2017.",1,1.0
5ae82c3d55429952e35eaa75,This high school located in the Bronzeville neighborhood was named after a settler who was arrested by who?,['the British military'],Jean Baptiste Point du Sable,The British military.,1,1.0
